HW1;HW2;HW3;HW57;HW53
39;16.6;103.7;4;11.8
9;7.3;65.3;4;11.8
58;18.7;106.9;4;12
15;10;75.2;3;10.7
8;8.6;68.1;4;11.5
57;20.3;107.8;4;12.4
29;11.8;84;4;11.8
48;20.3;105.8;4;12.4
16;9.1;75.8;3;10.5
38;15.1;96.1;4;11.8
27;14.6;89.1;4;13.2
45;16.7;100.6;4;12.9
48;12.8;103.7;3;10.9
19;10.6;80.4;3;10.9
48;15.4;99.2;4;12.6
53;24;109;4;11.4
39;11.7;87.5;4;11.6
43;13.9;94.2;4;12.1
21;9.9;75.4;2;8.6
56;15.9;97.6;4;12.8
10;7.9;69.4;2;8.6
11;7.7;69.4;4;11.3
28;12.6;87.2;3;10.4
52;14;97.7;3;10.3
45;15.8;96.7;4;12.1
10;6.6;67.1;3;10.5
10;7;72.5;2;9.7
36;14.3;94.8;4;11.6
26;12.4;84.9;4;11.7
32;12.4;91.5;3;10.8
34;16.1;96.9;4;12.4
59;16.8;104.2;4;11
27;12.2;87.8;2;9.7
48;13.3;95.8;4;12.2
33;18.4;99.1;3;10.6
49;13.7;99.1;3;10.4
23;12;86.2;4;12.5
13;9.2;72.3;4;13.7
37;13;88.3;4;13.3
18;9.2;80.1;4;12.8
28;10;83.3;4;12.5
34;11.8;84.7;4;12.5
34;15.6;91.6;4;13.4
11;9.5;73;4;13.3
12;8.4;70.2;2;11.6
25;10.1;78.7;3;13
52;13.3;92.1;3;12.8
54;15.6;97.6;4;13.4
7;6.8;63.4;3;12.3
40;11.9;88.3;4;13.5
41;12.3;87.7;2;11.7
52;14.6;95;4;13.2
33;12.9;89.9;4;12.2
28;15;93.2;4;13
11;7.4;69.2;4;11.8
33;11.8;86.6;4;12.5
59;16.5;105;4;12.8
19;11.1;83.4;4;12.4
48;14.9;100.4;4;12.8
22;13.2;84.9;4;14
7;11.8;69.8;4;14.3
52;18.3;102.3;3;11
40;14.5;95.4;4;11.3
51;16.6;103.3;4;14.8
11;11.4;76.3;3;13.2
56;17.9;108;4;15.9
41;23;105.8;4;14.7
33;12.3;87;4;14.9
56;17.4;104.1;4;14.2
10;8.4;70;3;13.5
23;16.4;87.8;3;14.1
58;19.2;106.4;3;13.4
42;14.1;97.6;4;15.4
21;11.9;84;2;12.3
42;19;99.3;2;12.6
18;10.3;74.5;1;8.8
7;8.1;67.4;3;13.6
48;18.6;104.5;3;13.3
20;15.7;84.4;3;13.6
23;10.5;79.3;3;13.5
42;15;98.9;2;12.3
9;7.2;66.4;2;10.3
24;11.9;86.9;4;14.2
37;12.8;90.2;3;14
53;15.4;104;4;14.9
10;9.7;71.8;3;13.5
6;8.3;66.7;2;12.7
21;9.1;76.7;4;14.8
59;14.2;101.2;4;15
43;14.6;93.4;3;13.7
38;12.8;90.2;4;14.3
20;10.1;83.8;2;11.4
34;15.6;93.3;2;13.1
10;9.5;73.1;2;10.9
27;13.3;89.6;4;14.7
10;8.9;69.7;2;12.7
30;14.2;90;3;14.4
50;17.9;101.3;4;14.7
48;15.8;97.4;3;13.7
47;18.1;103;4;14.8
33;10.6;85.4;4;15
45;17.4;106.8;4;15
14;10.1;75.3;4;14.7
50;19.8;106.7;3;13.7
42;13.4;94.8;4;14.4
45;14.1;98.1;3;14.1
47;16.6;101.3;4;14.8
38;14;91.8;3;13.8
49;17.5;102.1;4;15.9
13;9.8;73.2;4;14.2
43;14.7;94.9;2;13
27;12.4;85.2;3;14
21;11.4;79.4;4;14.4
37;14;93.4;4;14.2
20;9.9;78.8;2;12.8
41;13.4;96.3;3;14.1
6;9.4;66.4;3;13.5
42;15.6;95.4;4;14.9
44;16.1;101.7;4;15.1
57;17.3;105;2;12.7
26;14.1;90;4;14.6
46;16.4;97;2;12.7
14;11.4;77.1;2;12
51;18;104.1;2;12.9
52;16.2;99.8;4;14.8
7;8.3;68;4;15.7
24;12.4;84.3;2;12.2
25;14.6;87.2;4;14.5
51;16.7;99.9;3;14.1
52;15.9;104.7;4;14.4
9;9.7;72.6;2;12.1
29;11.5;85.6;3;13.4
17;10.6;79.3;4;14.9
26;14;89.5;2;10.2
58;17.7;108.4;3;13.7
53;16.1;102.4;4;15.9
17;8.5;74.1;4;14.9
27;12.7;86.1;3;14
54;21.8;113.4;4;15.5
18;8.9;74.8;2;10.7
45;17;99.8;3;13.6
12;9.2;70.1;2;10.4
29;14.6;91.5;4;14.6
28;13.8;90.1;4;14.3
44;14.6;91.5;3;14
57;19.8;103.3;3;14.1
39;14;91.4;3;14.1
10;8.6;70.5;3;14.1
17;11.7;77.1;3;14.1
7;7.8;67;3;13.2
24;11.3;83.8;3;13.7
45;13.7;95.9;4;14.3
8;8.3;67.6;2;13
18;11;80.1;4;14
42;12.5;90.7;2;12.3
47;17.8;101.3;3;13.1
37;14.2;94.3;4;14.9
30;13.4;88.3;4;14
24;12.1;86.4;3;13.3
53;16.3;100.8;4;13.4
35;14.2;92;3;10.8
24;11.7;83.6;2;10.1
50;17.3;99;2;9
9;10.1;72.8;2;10
47;16.5;98.4;2;10.1
6;7.2;69.4;3;10.9
15;8.3;72.2;2;10
12;8.4;71.1;3;11.2
10;9.6;69.5;3;11.9
44;17.2;96.5;4;13.2
24;10.8;79.8;4;12.3
21;10.5;80.4;4;14.3
26;12.4;86.5;4;12.3
11;9.4;71.7;3;13
14;11.8;76.3;3;13.8
6;7.2;66.6;2;12.2
25;13.7;90.1;3;13.7
31;12.5;89.2;3;14.1
6;7;63.9;3;14.3
16;10.9;78;4;14.8
57;14.2;99.1;4;15.2
27;11;84.5;2;12.9
37;13.5;92.4;3;14
35;11.5;85.9;4;15.8
50;12.8;85.7;2;13.4
27;11.3;82;4;15.6
28;12.4;86.3;4;16.2
46;16.7;100.8;3;14.4
37;13;87.5;3;14.5
25;11.3;82.3;3;13.5
36;15.2;92.6;2;12.8
42;16.4;97.8;3;13.5
57;21.2;111.9;4;14.5
19;9.9;78.3;3;13.8
51;16.8;103.9;3;13.7
8;9.1;71.5;4;14.3
39;13.1;92.1;3;14
56;15.4;104;4;15.7
31;13.6;90;3;13.9
54;15.2;99.7;4;14.4
9;8.1;67.5;3;13.7
46;14.7;97.1;4;14.2
6;9;69.8;4;14.2
18;10.2;78.8;2;12
50;17.8;101.4;4;14.8
53;16.8;101.9;4;15.3
30;12.3;90.3;2;12.6
46;17.4;100.8;3;14.6
24;11.1;78.5;3;14.5
42;14.2;95.2;2;13.8
12;10.7;72.7;2;12.9
32;14.8;93.7;2;12.1
43;14.8;100.6;4;14.7
8;10;72.2;2;10.9
33;13.4;90.8;3;13.6
17;10.9;79.4;4;15.1
43;16.2;97.7;3;13.8
31;13.7;91.5;3;13.6
21;16.5;77.8;3;13.3
44;15.3;97.7;4;15
29;14.8;91.4;4;15
21;11.5;85.2;3;13.7
39;13.7;93.4;4;14.6
50;16.5;102.9;2;13.1
51;20.7;104.1;2;12.9
32;13.5;94.4;3;13.6
57;17.8;107.6;3;13.3
28;14.1;88.1;2;12.4
18;9.3;74.8;2;13.1
19;10.8;80;2;12.2
27;12.4;86.6;3;13.7
31;13.4;89.4;4;14.5
44;16.2;99.6;2;13.4
48;15.2;98.5;4;15.2
27;12.5;89.1;4;15.3
31;11.9;86.7;4;14.4
50;18.3;103.3;4;15
44;14.5;97.4;3;13.5
58;17.3;107.3;3;13.2
41;15.3;100.7;3;13.8
48;17.1;99.5;4;14.9
58;15.5;96.4;3;13.9
7;9.3;67.2;3;13.8
10;9.2;72.7;2;9.7
8;7.4;67.6;2;9.9
36;16.7;102.2;4;12.7
9;8;71.1;3;10.3
33;12.8;89.2;4;11
43;18.6;102.1;4;12
17;12.6;86.9;4;11.6
45;13.3;94.7;4;11.6
54;19.1;108.4;4;12.9
31;16.8;92.4;4;12.6
11;8.2;69.5;4;11.2
36;13.3;95.2;4;12.2
54;29.5;118.5;4;11.5
28;12.6;86.1;4;11.8
18;10.2;78.6;2;9.9
34;10.6;84.3;4;12.4
35;20.9;99.9;4;11.3
52;27.4;114.3;4;12.8
33;12;86.8;4;11.5
9;8.5;68.4;4;11.8
42;12.3;91.4;4;11.9
26;10.2;84.9;3;10.4
14;10.6;79.1;4;11.2
15;9.7;78.5;3;10.6
27;15;90;2;8.7
11;8.6;70;3;10.8
28;14.3;91.4;4;12.2
22;11.8;82.3;2;8.9
6;7.3;64.7;4;11.5
27;11.8;85.7;3;10.8
35;13.8;91.7;4;12.5
10;8.8;70.5;4;12.7
47;16.4;100.8;4;12.7
50;14.8;100.8;4;11.7
22;13.2;88.2;4;12.3
6;8.6;69.2;2;8.4
41;14.2;97.6;4;12.3
9;8;67.9;2;9.3
49;18.7;105.2;4;12.1
36;13.8;92.9;4;12
22;9.5;79.7;3;10.6
56;15.1;100.9;4;12.6
49;18.8;102.1;3;10.4
44;19.3;103.6;3;10.7
48;15.6;99;4;13.5
11;10.5;74.4;4;12.3
57;17.2;104;4;11.7
31;12.4;87.9;4;11.9
11;8.6;70;4;12
36;14.3;91.4;4;13.8
51;22.8;108.7;4;12.9
16;11.3;81.2;3;10.5
16;10.4;75.6;3;10.5
48;19.1;106.3;4;12.2
23;10.7;81.7;4;11
48;19;105.9;4;12.7
14;10.2;75.9;3;10.7
24;9.5;82.6;4;11.6
24;12.8;86;4;11.8
42;16.9;102;4;12
6;6.9;66.4;3;10.2
29;11.7;87.4;4;12
44;15.6;97.2;4;11.7
57;16.2;102;4;13
26;12.7;86.3;4;13
16;11.3;80.3;4;11.8
27;10.3;82;4;11.6
20;12.3;85.6;4;12.8
39;13.9;95.2;4;11.3
7;9.3;69.3;2;7.9
9;7.7;67.6;2;9.2
44;16.4;103.2;3;10.8
8;8.3;68.8;2;8.2
54;15.7;102.3;3;10.1
6;8.7;70.3;2;9.4
34;14.5;93.6;3;10.3
49;15.3;100.9;4;11
13;9.1;74.7;3;10.9
48;16.4;105.5;4;12.1
29;12.3;85.9;4;11.2
21;8.1;77.8;4;11.9
45;13.8;95.3;3;10.5
10;9;71.2;2;9
41;17;102;4;11
7;8.9;68.6;4;12.6
19;11.5;83.3;4;13.3
46;13.3;94.5;4;11.1
36;12.2;88.2;4;11.6
49;16.1;102.3;3;10.7
9;10.7;74.2;2;8.6
7;5.5;61.8;2;9.4
33;15.1;96.4;4;11.3
17;14.1;89.4;3;10.2
22;12.8;86.6;4;12.1
11;9.8;75.1;3;10.8
47;15.6;100.2;4;12.3
10;7.6;70.4;4;12.7
31;14.6;92.9;4;12.2
41;12.8;92.6;4;11.4
23;11.7;87.7;4;11.8
49;17.3;103.2;4;11.1
36;15.1;94.7;3;10.9
20;10.5;81.7;3;10.9
11;9.3;74.3;3;10.7
50;15.9;102.9;4;11.5
14;9;73.1;4;11.7
36;13.2;93.7;4;11.4
9;8;68.3;3;10.3
15;9;76.6;3;10.4
46;17.7;100;4;11.8
31;12.4;88.8;3;10.3
49;21.7;108.8;4;11.9
26;13.9;88.4;3;10.7
26;11.3;89.9;4;12.6
50;14.1;98.4;3;10.7
24;10.7;86.3;4;11.5
26;10.5;86.5;4;11.8
35;11.5;89.1;4;11.8
57;14;102.9;3;10.6
8;8.4;69.7;4;11.6
8;8;68.1;2;9.8
42;15.5;96.2;4;11.5
38;11.3;86.6;3;10.8
38;12.6;91.1;4;11.8
34;14.7;93.6;4;12.2
26;14.1;88.3;4;12.7
49;15.9;99.2;4;11
11;9.2;69.6;3;10.1
38;15.4;94.6;3;10.6
20;10.4;83.8;4;11
15;10.3;76.3;4;11.3
32;12;89;4;12.3
17;10.2;78.8;3;10.3
26;11.4;85;4;11.3
29;11;91.1;4;11.5
35;14.3;93.5;4;11.2
35;15.6;94.7;4;12.1
24;11.4;86.7;3;10.3
6;8.2;67.3;3;10.4
42;14.1;94.9;4;11.1
19;10.4;76.1;4;11.2
47;14.9;101.8;4;11.4
58;17.3;103.9;4;11.5
10;8.3;71.9;4;12.9
24;11.1;84.1;4;12.3
17;9.9;76.3;4;11.3
58;15.5;100.4;4;11.8
12;8;71.5;4;11.5
33;11.6;86.5;4;11.4
25;12.3;89;4;11.4
34;10.3;85.9;4;11.9
13;9.9;74.5;4;11.3
49;15.5;95.3;4;11.2
35;12;84.8;4;11.5
43;16.8;97.3;4;11.5
58;13.5;97.2;2;10.1
15;10.8;78.3;2;10.1
51;13.1;95.4;4;12.8
41;16.4;93;3;10.8
52;15.4;96.1;3;10.7
30;14.6;90.2;4;11.8
9;8.5;69.3;2;9.6
53;15.3;98.2;4;11
36;13.7;89;3;10.8
53;19.4;105.6;4;11.5
13;9.8;73.3;3;10.6
7;9.4;69.2;2;9
27;11.5;85.5;4;12.4
39;15.4;96.8;4;12.4
20;11.3;81.3;3;10.7
12;13.4;76.2;4;11.5
35;12.7;87.1;4;11.3
18;8.8;79.2;3;10.7
10;10.3;75.2;3;10.6
17;10.9;80.8;3;10.4
14;10.1;77.6;3;10.9
37;16.9;100.5;4;11.8
6;9.7;72;4;11.1
18;7;72.7;4;11
30;12.1;90.3;3;10.9
21;9.5;78.2;4;11.6
48;12.7;91.4;4;11.2
12;8.2;73.6;4;11.4
48;12.1;93.1;4;12.2
43;15.8;96.4;4;11.1
11;8.2;67.9;3;10.4
34;13.5;91.4;4;11.4
7;8;67.6;2;8.2
15;8.4;73.7;4;11.6
9;8.1;70.8;2;9.6
34;13.8;92.4;4;11.9
18;10.5;79.2;3;10.3
39;14.1;93.1;4;11
13;8.8;70.8;2;7.5
46;17.9;100.1;4;11.3
44;13.7;96.3;4;13.5
38;13.7;89.7;4;12.5
8;8;68.9;2;9.3
40;14.1;99;4;11
35;12.8;91.2;4;11
59;16.2;102.9;4;12.3
56;16.4;102.5;4;11.6
43;11.4;89.7;3;10.4
26;11.1;85.7;3;10.8
20;8.4;73.9;4;11.1
42;14.8;95.9;3;10.9
55;15.3;98.2;4;11.4
59;17.4;102.5;4;11.9
20;10.5;83.4;3;10.5
11;9.2;71.6;3;10.1
44;18.9;102.2;2;9.5
32;12.9;88.2;4;11.9
9;9.3;71.1;3;10.8
14;8;70.5;3;10.4
11;9.1;71.9;2;7.9
19;12.1;81.6;4;12
26;9.4;77.2;4;11.1
26;10.9;81.6;4;11.1
6;10.4;68.6;4;11.1
44;13.7;94.6;4;11
15;9.9;75.6;3;10.6
13;7.4;71.3;4;11.3
34;12.6;88.4;4;12.6
15;10.9;76.2;4;12.1
7;6.9;62.2;2;9.4
9;10;71.5;3;10.1
32;14.9;95.8;4;11.1
15;9.4;75.3;4;13.1
53;17.4;104.1;4;12.4
53;15.7;100.4;4;11.1
12;9.2;74.8;4;11.4
23;11.3;84.1;4;11.5
8;9.7;69.1;3;10.5
17;11.3;80.3;4;12.4
39;15.8;98;4;11.3
59;22.8;112.5;4;11
29;11.4;84.8;4;11.8
46;17.1;101.1;4;12.9
58;18.3;109.8;4;11.8
7;8.3;68;3;10.6
39;18.4;102.7;4;12
34;13.7;93.3;4;12.1
9;9;68.5;4;11.9
40;17.5;97;4;11.6
32;13.4;91.5;4;11.3
52;18.2;103.4;4;11.8
28;13;89.1;4;12.3
29;16.5;96.2;4;11.4
44;21.5;108.8;4;11.5
50;20.1;102.1;4;11.1
29;13.3;90.3;4;13.1
36;12.3;98.4;4;12.3
50;20.2;110.3;4;13
17;12.4;79.4;4;11.6
25;17.1;91.3;4;12.1
17;16.9;86.3;2;9.7
43;14.6;100.7;4;13.5
18;9.9;77.9;2;8.7
30;14.5;94.2;4;12.5
33;17.9;95.3;4;11.8
52;24;109.9;4;13
41;15.4;97.5;4;12.4
37;14.9;95.9;4;13.5
50;18.6;108.3;4;11.8
26;13.4;90.7;4;12
47;19.4;106.1;4;12
42;16.2;96.1;4;11.5
29;16.5;97.8;4;12.9
15;11.2;77.5;4;11
42;13.9;93.9;4;12.6
20;11.4;77.6;4;11.5
42;16.5;99.8;4;14
35;15.4;96.8;4;12
47;18.7;101.1;4;11.9
44;17.2;101.7;4;13
55;18.9;107.1;3;10.4
22;14;88.3;4;12.8
32;11.8;85.1;3;10.9
26;15.5;92.4;4;12.1
49;25.8;110.2;4;14.3
32;18;96.6;4;12.5
26;13.2;87;4;12.3
40;16.4;98.5;4;11.8
53;25.5;107.2;4;12.4
52;18.4;109;4;12.7
23;12.5;84.9;4;11.1
27;13.1;87.6;4;11.7
13;9.2;73.2;3;10.4
30;14.8;92.2;4;11.4
52;21.3;107.4;4;13.2
37;14.3;95.4;4;12.8
38;16.5;96.3;3;10.3
31;13.4;88.2;3;10.2
33;14.5;92.6;4;11.5
43;16.9;98.5;4;11.9
49;17.3;102.5;4;13.6
40;14.5;98.3;4;11
21;11.1;82.8;4;12.8
26;11.6;88.5;4;13.8
29;15.1;91;4;11.7
43;19;102.7;2;9.9
47;16.4;103.1;4;12.3
52;22.1;110.8;4;11.5
47;16.8;99.8;3;10.8
27;13.6;85.8;4;11.9
27;15.9;91.8;4;12.5
27;14.5;92.7;4;12.8
37;16.6;94.8;4;11.7
28;11.6;88.2;4;11.6
32;15.7;96.8;4;12.4
52;17.3;104.5;4;12.5
42;18.3;100.9;4;12.4
53;15.4;100.4;4;13.2
43;17.5;96.6;4;12.1
33;14.4;94.4;4;11.7
57;20.3;104.1;4;13
35;15.5;96.2;4;12.7
30;11.8;88.6;4;12.8
50;17.7;105.4;4;11.3
41;18.2;104.4;4;13.1
9;10.7;75.5;3;10
24;18.6;90.3;4;11.9
21;10.7;82.1;4;13.6
40;15.6;98.4;4;11.7
53;17.3;105.2;4;13.2
49;20.1;105.8;4;11.6
15;13.8;83.7;4;12.1
14;11.3;74.8;4;11.9
56;20.8;109;4;11.5
56;17.4;103.5;3;10.7
55;21.4;122.4;4;11.5
41;15.1;96.3;4;12.1
23;18;93.3;4;12.5
52;16.7;106.5;4;11.7
26;13.6;89.8;4;12.6
54;22.3;110.3;4;11.4
49;18.5;97.9;4;13.3
38;13.5;91.9;3;10.9
41;16.3;99.7;3;10.5
11;11.3;74.5;3;10.3
42;18;100;4;12.3
26;13.5;89.7;2;9.9
48;16.9;106.1;4;12.1
22;12.6;85.1;4;11.2
50;17.1;105.1;4;13.1
36;14.2;94.8;4;13.2
38;15.2;99;4;12.4
43;16.9;103.9;4;12.2
8;9.5;69.3;3;10.5
16;10.3;72;4;11.5
51;15.3;101.8;4;11.7
23;11.5;83;4;11
54;17.5;106.2;4;11.8
21;10.8;82.3;4;11.6
11;10.4;74.4;4;11.3
12;12;79.4;4;11.5
45;16.9;99.1;4;12.2
28;15.5;89.9;4;11.9
31;15.3;92.6;4;12.4
53;19.7;104.9;4;11
54;27.1;109;4;11.2
38;14.7;97.3;4;11.8
59;18.2;105.7;4;11.2
33;16.1;95.6;4;11.5
22;13.4;87.7;4;12
54;25.6;107.7;4;12.3
58;24.1;113.9;4;12.5
6;11.5;69.7;3;10.4
47;21;106.2;4;11.5
56;17.8;103.3;4;12.8
24;15.7;83.9;4;11.9
19;11.3;85.3;4;11.3
25;14.1;89.3;3;10.8
32;14.8;92.3;2;9.3
53;17.3;105.4;4;11.5
33;15.9;91.6;3;10.8
46;16.7;100.7;3;10.9
34;20.5;98.9;3;10.6
54;24.5;109.2;4;12.6
57;28.6;115.9;4;12.4
55;16.7;104.5;4;11.9
45;15.6;99.5;4;11.8
55;22.2;113.3;4;12.8
58;33;115.8;4;11.1
10;11.3;75.2;4;11.7
50;19.1;105;4;12.2
26;15.3;89.8;4;11.8
6;9.6;69.8;4;11.4
15;9.5;79;3;10.3
8;9;67.6;4;12.7
27;15.1;91.3;4;12.1
36;20.2;100.1;4;13
16;12.5;82.9;4;11.6
38;18.9;98.2;3;10.5
47;16;118.8;4;12.4
17;10.7;78.3;2;9.7
33;14.7;91.6;4;11.2
15;10.3;75.2;2;9.6
40;16.4;102.6;4;12.5
51;15.9;100.9;4;13
24;12.5;87.2;4;11.6
16;13.8;82.7;4;11.1
50;17.5;103.6;4;12.5
10;11.6;72.6;3;10.9
16;12.6;82.8;3;10.6
53;20.6;112.4;4;11.6
49;15.3;100.3;4;12.6
42;17.3;102.6;4;12.9
57;25.7;111.5;4;13.3
21;12.5;83.1;3;10.8
59;17.7;109.4;4;12.3
45;15.6;98.6;3;10.8
30;15.1;94.2;4;11.8
49;18.5;105.7;4;11.3
39;15.6;94.4;4;12.5
25;12.9;86;4;11.6
48;16.4;102.4;4;13.5
33;15.1;93.1;4;11.8
45;14;93.4;4;11.1
37;18.8;97.8;4;11.1
38;16.5;93.4;4;12.3
9;9.3;70.7;3;10.8
24;14.3;85.3;4;11.4
26;12.1;84.7;4;13.2
59;18;106.2;4;13.4
9;8.1;68.5;3;10.9
22;10.6;82.5;3;10.8
8;8.6;69.1;4;11.8
32;15.8;92.7;4;12.4
38;17.3;96.8;3;10.8
12;11.7;77.1;2;9.9
29;13.7;92.2;4;11.3
7;9.7;72;3;10.9
25;18.5;94.4;4;11.3
51;26.8;108.3;4;11.1
16;11.8;76.8;4;12.1
33;13.7;91.8;4;13.1
21;9.6;80.4;4;13.6
17;10.6;76.7;4;13.6
34;15;96.7;4;12.5
13;10.7;75.5;2;9.3
25;12;88.2;4;12.1
33;16.1;91.7;4;11.1
44;22.7;109.1;4;11.1
58;20.3;110.2;4;12.2
50;21.1;112;4;12.9
52;18.7;109;4;12.7
8;9.5;69.7;4;11.4
8;9.1;69.6;2;8.7
53;14.3;103.1;4;12.2
37;17.4;96.1;4;12.9
31;14.3;94.5;4;11.8
55;15.9;105.5;4;11.2
27;15.3;92.8;4;11.7
13;10.9;79.9;4;11.3
23;13.1;86.7;4;11
56;17.7;103.3;4;11.7
13;11.1;75.2;4;12.6
9;9.9;69.3;4;12.8
42;19.1;105.3;4;11.1
18;11.3;85.1;4;12.1
38;16;96;4;12.6
41;16.9;99.1;4;11.8
45;17.4;98.2;4;12.1
6;7.8;67.5;3;10.7
10;9;71.7;4;11
13;10.4;77.2;4;11.7
21;18.6;88.8;4;12.8
25;14.6;85.5;4;12.6
33;14;92.3;4;12.6
21;10.4;80.8;3;10.7
10;9.8;74.8;3;10.9
9;9.9;71;3;10.3
13;9.7;75.5;3;10.4
12;9.9;78.8;4;11.6
36;16.5;99.9;4;11.1
8;9.8;73;4;11.6
22;9.8;81.8;4;11.7
6;7.8;64.6;2;9.1
40;13.9;90;4;11.2
11;8.6;69.8;3;10.1
7;6.8;63.5;3;10.1
58;16.8;98.6;4;11.5
42;14.7;97.9;3;10.3
9;10.5;73.8;4;11.6
44;18.5;104.1;4;11
58;19.2;108.2;4;11.8
36;13.2;92;4;11.5
38;13.8;97;3;10.4
56;18.8;109.7;4;11.7
43;14;96.8;4;11.7
31;13.2;94.4;4;11.7
37;14.5;91.7;4;11.9
33;14;92.9;4;12.5
33;10.7;85.5;4;11.9
26;12.1;86.7;4;11.4
26;11.8;84.1;3;10.1
50;15.9;97;3;10.4
30;15.7;92.2;4;11.2
41;13.3;93.2;4;11.1
26;12.8;85.1;4;11
40;14.2;95.8;4;11.1
14;9.3;77.5;4;11.9
51;13.2;100.9;4;11.5
33;13.2;88.3;4;11.5
49;15.5;97.9;3;10.1
11;8.5;73.7;2;9.3
55;28.2;113.9;4;12.2
25;12.9;89.5;4;11
25;12.1;84.5;4;11.1
47;16.1;98;4;12.4
33;15.2;98.4;4;12.6
35;15;91.6;4;11.2
55;17.8;108;4;12.4
17;9.4;74.9;2;9.7
23;10.8;82.3;2;9.9
56;22.3;108.5;4;12.2
6;6.4;62.8;4;12
9;8.5;67.6;4;11.4
8;10.8;73.6;4;12
8;9.1;70.6;3;10.2
21;11.6;84;2;9.4
49;17;102.4;4;12.1
32;11.8;88.5;4;11.9
30;15.2;94.4;4;12.5
58;30.5;113.6;4;12.4
25;9.4;82;4;12.4
59;17;104.7;4;12
23;11.9;87.9;4;12.4
12;9.5;76;3;10.5
21;10.5;82.7;4;12.6
8;9;68;3;10
6;8.3;66.9;3;10.7
54;15.3;98.3;4;11.3
41;16.3;99.6;4;11.2
43;17.7;100.2;4;12
54;13.8;97.3;3;10.8
13;8.1;72.7;4;11.6
12;8.3;73.7;3;10.9
27;16.4;90.3;4;12.7
20;10.6;80.3;3;10.7
34;13.2;91.9;4;12
49;13.6;95.6;4;11.8
45;14.2;98.4;4;11.3
8;8.8;70.6;3;10.9
30;12.4;87.7;4;13.6
44;17;101;4;12.4
41;11.8;90.6;4;12.1
40;17.7;101.9;4;13.2
20;11.8;82.6;4;12.5
20;14.8;87.6;4;12.1
59;21.5;115;4;11.9
23;10.5;82.4;4;11.1
48;16.9;98.4;4;12.8
56;21.5;111.4;4;11.6
8;8.1;68.1;3;10
42;12.5;90.4;4;11.3
21;10.2;81.1;3;10.6
24;13.1;90;4;12.5
29;13.5;90.6;4;11
56;17.3;105.6;4;11.3
43;17;102.4;4;13.5
11;9.2;71.1;4;11.3
12;11.7;78;4;11.5
38;13.2;92.2;2;9
56;16.4;102.4;4;12.6
33;14.1;93.1;4;11.2
46;16.1;101.6;4;11.7
54;16.5;107.5;2;9.9
8;8.8;72.3;2;9.9
14;8.8;74.6;3;10
49;14.1;100.6;3;10.2
28;12.8;86.1;4;11.1
51;14.7;98.4;4;11.5
24;10.3;82.7;4;11.5
55;16.6;104.7;4;11.9
52;17.7;100.5;4;12
32;10.4;84.3;4;11.9
41;17.4;98.5;3;10.5
28;11.3;85.7;2;9.6
42;15.2;97.4;4;12.4
54;16.2;101.1;3;10.8
30;14.1;91.7;4;12.8
17;10.3;78;3;10.6
38;13.7;95.5;3;10.9
21;9.4;71.2;3;10.6
56;16.6;101.3;4;12.8
22;13;86.4;4;11.2
49;14.2;99.5;3;10.7
54;15;98.5;4;11.2
11;9.5;75.8;2;8.5
45;15.3;98.5;4;11.4
39;12.9;93.3;4;11.6
56;15.5;103.4;4;14.2
6;8.6;66.5;3;10.5
50;17.2;104.8;4;12.9
24;10;81.2;2;8.1
58;17.2;102.5;4;11
58;18.8;107.5;4;11.7
29;13.7;90.2;3;10.6
21;11.3;82.7;4;11.4
38;14.7;97.2;4;11.2
53;19.8;110.6;4;11.6
20;10.6;85.6;3;10.6
10;9.2;69.9;4;11.8
21;13.2;87.7;2;9.9
30;12.8;90.7;3;10.7
6;7.5;66.6;4;11
45;15.6;101.2;3;10.5
17;10.1;80.5;4;12.3
35;12.9;94;3;10.5
6;6.9;64.8;4;11.1
32;12;86.1;4;12.3
26;14;87.3;4;11.9
55;21.5;106.1;4;12.1
45;15.8;99.3;3;10.8
49;17;103.8;4;11.7
51;20.1;101.9;4;11.4
34;11.8;89.4;3;10.6
30;13.6;93.7;4;11.7
16;9.5;77.1;3;10.9
13;8.7;74.8;2;9.8
32;11.2;86.4;3;10.3
12;12.8;74.2;3;10.9
9;10.5;74;3;10.4
31;13.4;92.1;4;12.3
14;9.1;75.4;4;11.1
39;13.6;94.4;4;11.5
21;10.6;83.1;4;11.6
31;12.1;88.5;4;12.2
30;12.4;87.1;3;10.8
46;17.4;106.4;4;11.4
17;9.4;74.6;4;11.8
34;13.3;91.9;4;12.3
48;16.4;101.9;4;11.1
41;17.1;104.2;4;13.2
54;15.1;102.1;4;13.5
30;10.7;87.1;4;12.5
53;22.6;106.2;3;10
44;15.9;98.5;4;11.6
12;10.3;74.8;4;11.1
15;9.2;75.2;4;11
42;15.4;100;4;12.7
35;10.3;88.6;4;11
24;12.2;86.1;4;11.8
43;16.8;100.7;4;11.5
34;18.3;97.7;3;10
27;12.7;89.4;4;11.7
28;13.8;87.7;4;13.3
24;10;79;3;10.7
48;12.4;96.5;4;13.6
30;13.7;89.1;3;10.6
59;16.8;103.1;4;12
55;17.2;104.3;4;11.5
52;17.4;101.5;3;10.6
52;15.2;102.5;4;13.3
12;9.6;73;3;10.5
41;15;95.7;4;12
10;9.3;69;4;11.6
31;13.2;87;4;11.1
27;12.7;86.5;4;12.1
57;16.2;100.6;4;12.2
12;8.9;73;3;10.9
